multiple_label,No,Source,Destination,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,Protocol,tcp_flag,ICMP_Type,ICMP_Code,Info,User_Agent,Length,Delta_Time,Relative_Time,Absolute_Time,Cumu_Bytes,TTL,Status_Code,Status_Code_Description,Content_Type,Referer,Request_Method,Cookie,http_server,http_request_uri_query,http_request_uri_query_parameter,Connection,http_request_uri_path,http_request_full_uri,Content_Length,Response_Line,Request_Line,issuerNameHash,HTTP_Host,Server_Name,producedAt,thisUpdate,nextUpdate,Cipher_Suite,Cipher_Suites_Length,Cipher_Spec,Cipher_Spec_Length,Compression_Method,Handshake_Type,Handshake_Message_Length,Certificate_Status_Type,TLS_Version,TLS_Length,Challenge_Length,Extension_Type,Extension_Length,Extensions_Length,EC_point_format,EC_point_formats_Length,ALPN_Next_Protocol,ALPN_string_Length,Signature_Hash_Algorithm_Hash,Supported_Groups_List_Length,Supported_Group,Renegotiation_info_extension_Length,Request_URI,label
njRAT3,81118,10.0.2.104,147.32.83.57,49174.0,5552.0,,,TCP,0x010,,,49174  >  5552 [ACK] Seq=3725925774 Ack=37954090 Win=65535 Len=0,,54,0.199034,551886.460646,1970-01-07 09:18:06.460666,38476998,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
njRAT3,609655,147.32.83.57,10.0.2.104,5552.0,49178.0,,,TCP,0x018,,,"5552  >  49178 [PSH, ACK] Seq=2261005726 Ack=1952914996 Win=65535 Len=1030",,1084,2.805309,3855422.2602,1970-02-14 14:57:02.260220,297971059,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,137959,10.0.2.103,98.225.252.156,,,1416.0,9810.0,UDP,,,,1416  >  9810 Len=221,,263,0.0002189999999999,1035819.955668,1970-01-12 23:43:39.955685,38502944,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
njRAT3,62270,147.32.83.57,10.0.2.104,5552.0,49174.0,,,TCP,0x018,,,"5552  >  49174 [PSH, ACK] Seq=29623450 Ack=3725925774 Win=65535 Len=1030",,1084,0.8222459999999999,434544.960412,1970-01-06 00:42:24.960432,28956350,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
njRAT3,296725,10.0.2.104,147.32.83.57,49178.0,5552.0,,,TCP,0x010,,,49178  >  5552 [ACK] Seq=1952914996 Ack=2121711616 Win=64505 Len=0,,54,0.205463,2020277.840369,1970-01-24 09:11:17.840389,139109421,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
njRAT3,196264,10.0.2.104,147.32.83.57,49178.0,5552.0,,,TCP,0x010,,,49178  >  5552 [ACK] Seq=1952914996 Ack=2077152786 Win=65535 Len=0,,54,0.202315,1424883.786249,1970-01-17 11:48:03.786269,88262183,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,272255,147.32.84.165,184.173.217.40,7100.0,443.0,,,TCP,0x002,,,[TCP Retransmission] 7100  >  443 [SYN] Seq=1176032887 Win=64240 Len=0 MSS=1460 SACK_PERM=1,,62,0.454835,26171.422586,2011-08-15 23:33:16.773551,89530258,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
njRAT3,459843,147.32.83.57,10.0.2.104,5552.0,49178.0,,,TCP,0x018,,,"5552  >  49178 [PSH, ACK] Seq=2194474936 Ack=1952914996 Win=65535 Len=1030",,1084,0.537115,2982042.329822,1970-02-04 12:20:42.329842,222088589,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,280199,147.32.84.165,195.113.232.88,7923.0,80.0,,,TCP,0x002,,,[TCP Out-Of-Order] 7923  >  80 [SYN] Seq=1305748342 Win=64240 Len=0 MSS=1460 SACK_PERM=1,,62,1e-05,27831.085459,2011-08-16 00:00:56.436424,90226841,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
Virut1,14669,212.117.171.138,147.32.84.165,65500.0,1507.0,,,TCP,0x010,,,65500  >  1507 [ACK] Seq=3057846636 Ack=2182024912 Win=62780 Len=0,,60,0.013084,545.056603,2011-08-15 16:01:48.538037,9432815,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
zebrocy1,3684,192.168.100.181,220.158.216.127,52874.0,80.0,,,HTTP,0x010,,,Continuation,,1294,8e-06,206.263252,2018-10-27 11:16:52.329912,3091716,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
njRAT3,576314,147.32.83.57,10.0.2.104,5552.0,49178.0,,,TCP,0x018,,,"5552  >  49178 [PSH, ACK] Seq=2246265396 Ack=1952914996 Win=65535 Len=1030",,1084,2.793152,3660246.358430001,1970-02-12 08:44:06.358450,281154057,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
Zeus,262635,10.0.2.103,74.125.133.147,60346.0,80.0,,,TCP,0x002,,,60346  >  80 [SYN] Seq=2316051918 Win=8192 Len=0 MSS=1460 WS=4 SACK_PERM=1,,66,6.631829,1962990.722393,1970-01-23 17:16:30.722410,71785927,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,243549,8.8.8.8,10.0.2.103,,,53.0,53361.0,DNS,,,,Standard query response 0x6ce3 A hasclljhlfhlwkkjskxjzl.net A 54.83.43.69,,102,0.022198,1816078.428383,1970-01-22 00:27:58.428400,66576165,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
Sogou,2023,147.32.84.165,218.29.42.137,1072.0,80.0,,,TCP,0x010,,,1072  >  80 [ACK] Seq=1140280748 Ack=1393149177 Win=65160 Len=0,,60,0.000165,46.215301,2011-08-16 12:57:10.789064,1212065,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,216734,184.173.217.40,147.32.84.165,443.0,1689.0,,,TCP,0x014,,,"443  >  1689 [RST, ACK] Seq=0 Ack=184514224 Win=0 Len=0",,60,0.147192,15517.5002,2011-08-15 20:35:42.851165,82532940,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
benign,209897,74.3.164.222,147.32.84.165,443.0,1162.0,,,SSL,0x010,,,Continuation Data,,1514,0.4616979999999999,14360.237949,2011-08-15 20:16:25.588914,80723113,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
njRAT3,219790,10.0.2.104,147.32.83.57,49178.0,5552.0,,,TCP,0x010,,,49178  >  5552 [ACK] Seq=1952914996 Ack=2087656726 Win=65535 Len=0,,54,0.191447,1566945.799324,1970-01-19 03:15:45.799344,100244437,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
njRAT3,631119,147.32.83.57,10.0.2.104,5552.0,49178.0,,,TCP,0x018,,,"5552  >  49178 [PSH, ACK] Seq=2270418896 Ack=1952914996 Win=65535 Len=1030",,1084,2.803757,3986747.474886,1970-02-16 03:25:47.474906,308737239,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,3415,10.0.2.103,76.200.230.71,,,1416.0,7863.0,UDP,,,,1416  >  7863 Len=80,,122,6.869519,23350.239226,1970-01-01 06:29:10.239243,1096086,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
benign,264948,147.32.84.165,184.173.217.40,6348.0,443.0,,,TCP,0x002,,,[TCP Retransmission] 6348  >  443 [SYN] Seq=4005959654 Win=64240 Len=0 MSS=1460 SACK_PERM=1,,62,9e-06,24662.559773,2011-08-15 23:08:07.910738,88884749,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
Remcos1,825,192.168.100.52,104.111.242.152,53269.0,443.0,,,TCP,0x010,,,[TCP Dup ACK 821#1] 53269  >  443 [ACK] Seq=3931163636 Ack=3323027889 Win=66304 Len=0 SLE=3323031507 SRE=3323031511,,66,5.3e-05,280.261795,2020-10-26 01:41:37.293498,151771,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
Zeus,317941,74.125.71.94,10.0.2.103,80.0,62619.0,,,TCP,0x012,,,"80  >  62619 [SYN, ACK] Seq=2759496705 Ack=1301742923 Win=65535 Len=0 MSS=1460",,58,0.021247,2384996.147294,1970-01-28 14:29:56.147311,87158637,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,432576,8.8.8.8,10.0.2.103,,,53.0,64568.0,DNS,,,,Standard query response 0x645a A mbegedojhexeqmfwkjvmrtcy.org A 54.83.43.69,,104,0.131988,3255391.279417,1970-02-07 16:16:31.279434,118876021,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
benign,401921,195.113.232.96,147.32.84.165,80.0,19242.0,,,TCP,0x012,,,"80  >  19242 [SYN, ACK] Seq=3192348768 Ack=3595550306 Win=5840 Len=0 MSS=1460 SACK_PERM=1",,62,0.0005549999999999,51239.198121,2011-08-16 06:31:04.549086,103103152,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
njRAT3,100485,10.0.2.104,147.32.83.57,49178.0,5552.0,,,TCP,0x018,,,"49178  >  5552 [PSH, ACK] Seq=1952911708 Ack=2038169150 Win=65535 Len=2",,56,0.000399,773654.15013,1970-01-09 22:54:14.150150,43152571,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,229580,fe80::c06e:84b6:bcb8:a750,ff02::1:2,,,546.0,547.0,DHCPv6,,,,Solicit XID: 0x677864 CID: 000100011751c3220800273c8dc9 ,,146,8.001897999999999,1628745.223769,1970-01-19 20:25:45.223789,105173263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
benign,436037,fe80::c06e:84b6:bcb8:a750,ff02::1:2,,,546.0,547.0,DHCPv6,,,,Solicit XID: 0x8b69a8 CID: 000100011751c3220800273c8dc9 ,,146,4.006001,2840245.210545,1970-02-02 20:57:25.210565,210114263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
njRAT3,443541,10.0.2.104,147.32.83.57,49178.0,5552.0,,,TCP,0x010,,,49178  >  5552 [ACK] Seq=1952914996 Ack=2187285536 Win=65535 Len=0,,54,0.2031079999999999,2885176.782205,1970-02-03 09:26:16.782225,213880037,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
Zeus,250800,173.194.78.94,10.0.2.103,443.0,59856.0,,,TCP,0x010,,,443  >  59856 [ACK] Seq=1653512706 Ack=694942876 Win=65535 Len=0,,54,0.000132,1871738.040281,1970-01-22 15:55:38.040298,68560867,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
njRAT3,288925,10.0.2.104,147.32.83.57,49178.0,5552.0,,,TCP,0x010,,,49178  >  5552 [ACK] Seq=1952914996 Ack=2118268326 Win=65535 Len=0,,54,0.2018869999999999,1974892.475917,1970-01-23 20:34:52.475937,135180101,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
Zeus,4513,10.0.2.103,54.83.43.69,49325.0,80.0,,,TCP,0x011,,,"49325  >  80 [FIN, ACK] Seq=2653385664 Ack=71104454 Win=63788 Len=0",,54,0.000155,30836.579848,1970-01-01 08:33:56.579865,1412076,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,292723,fe80::50be:8acf:be49:8c14,ff02::1:2,,,546.0,547.0,DHCPv6,,,,Solicit XID: 0x49b1f0 CID: 000100011751c3220800273c8dc9 ,,146,1.381472,2193269.599551,1970-01-26 09:14:29.599568,80052168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
benign,177701,147.32.84.165,65.55.237.111,2986.0,443.0,,,TCP,0x010,,,2986  >  443 [ACK] Seq=3708663696 Ack=2606855960 Win=64240 Len=0,,60,0.000637,12528.607055,2011-08-15 19:45:53.958020,65678214,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
njRAT3,68360,10.0.2.104,147.32.83.57,49174.0,5552.0,,,TCP,0x010,,,49174  >  5552 [ACK] Seq=3725925774 Ack=32310720 Win=65535 Len=0,,54,0.201058,469822.811716,1970-01-06 10:30:22.811736,32022336,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
Zeus,350354,54.83.43.69,10.0.2.103,80.0,63953.0,,,TCP,0x011,,,"80  >  63953 [FIN, ACK] Seq=3292745158 Ack=3430149652 Win=65535 Len=0",,54,0.10407,2632357.141984,1970-01-31 11:12:37.142001,96288342,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
Zeus,135505,173.194.122.31,10.0.2.103,443.0,54632.0,,,SSLv3,0x018,,,Continuation Data,,1458,7.6e-05,1016689.112839,1970-01-12 18:24:49.112856,37830940,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,537620,fe80::c06e:84b6:bcb8:a750,ff02::1:2,,,546.0,547.0,DHCPv6,,,,Solicit XID: 0xca999b CID: 000100011751c3220800273c8dc9 ,,146,16.002643,3427856.865039,1970-02-09 16:10:56.865059,261610711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
zebrocy2,82,213.252.244.219,192.168.100.143,80.0,49402.0,,,TCP,0x010,,,80  >  49402 [ACK] Seq=2132308781 Ack=1879497660 Win=46976 Len=0,,54,1.9e-05,15.653287,2018-11-08 19:10:46.938966,10197,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
Zeus,64993,173.194.122.20,10.0.2.103,80.0,51710.0,,,TCP,0x010,,,80  >  51710 [ACK] Seq=1080128546 Ack=578459685 Win=65535 Len=0,,54,0.000183,474573.053996,1970-01-06 11:49:33.054013,18913553,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,420287,184.173.217.40,147.32.84.165,443.0,20971.0,,,TCP,0x014,,,"443  >  20971 [RST, ACK] Seq=0 Ack=1201509818 Win=0 Len=0",,60,0.1462,54506.411242,2011-08-16 07:25:31.762207,105665607,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
njRAT3,498305,147.32.83.57,10.0.2.104,5552.0,49178.0,,,TCP,0x018,,,"5552  >  49178 [PSH, ACK] Seq=2211628556 Ack=1952914996 Win=65535 Len=1030",,1084,2.801419,3205796.869915,1970-02-07 02:29:56.869935,241643591,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,302535,147.32.84.165,184.173.217.40,10080.0,443.0,,,TCP,0x002,,,10080  >  443 [SYN] Seq=3296830941 Win=64240 Len=0 MSS=1460 SACK_PERM=1,,62,0.995736,32073.435617000003,2011-08-16 01:11:38.786582,93200939,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
benign,269363,147.32.84.165,184.173.217.40,6796.0,443.0,,,TCP,0x002,,,6796  >  443 [SYN] Seq=1382733968 Win=64240 Len=0 MSS=1460 SACK_PERM=1,,62,0.995618,25539.368817,2011-08-15 23:22:44.719782,89284307,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
Zeus,452793,10.0.2.103,173.194.78.103,51950.0,80.0,,,TCP,0x010,,,51950  >  80 [ACK] Seq=1559590161 Ack=1229201410 Win=64240 Len=0,,54,0.000265,3410455.335857,1970-02-09 11:20:55.335874,124432268,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,312238,147.32.84.165,184.173.217.40,11080.0,443.0,,,TCP,0x002,,,[TCP Retransmission] 11080  >  443 [SYN] Seq=708098603 Win=64240 Len=0 MSS=1460 SACK_PERM=1,,62,1e-05,34110.243604,2011-08-16 01:45:35.594569,94109988,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
benign,212026,fe80::50be:8acf:be49:8c14,ff02::1:2,,,546.0,547.0,DHCPv6,,,,Solicit XID: 0xff814c CID: 000100011751c3220800273c8dc9 ,,146,10.379117,1574020.849975,1970-01-19 05:13:40.849992,57970282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
njRAT3,75865,147.32.83.57,10.0.2.104,5552.0,49174.0,,,TCP,0x018,,,"5552  >  49174 [PSH, ACK] Seq=35659250 Ack=3725925774 Win=65535 Len=1030",,1084,2.800969,517402.787832,1970-01-06 23:43:22.787852,35846362,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
Zeus,144085,173.194.122.31,10.0.2.103,80.0,54987.0,,,TCP,0x010,,,80  >  54987 [ACK] Seq=2390977142 Ack=6920963 Win=65535 Len=0,,54,0.000299,1082705.463883,1970-01-13 12:45:05.463900,40152080,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
Zeus,267008,173.194.78.94,10.0.2.103,443.0,60528.0,,,TCP,0x010,,,443  >  60528 [ACK] Seq=1922312856 Ack=1632930141 Win=65535 Len=0,,54,0.000157,1996392.176584,1970-01-24 02:33:12.176601,72979032,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,272304,147.32.84.165,184.173.217.40,7105.0,443.0,,,TCP,0x002,,,[TCP Retransmission] 7105  >  443 [SYN] Seq=151013562 Win=64240 Len=0 MSS=1460 SACK_PERM=1,,62,0.454472,26182.939126,2011-08-15 23:33:28.290091,89533268,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
benign,11344,147.32.80.9,147.32.84.165,,,53.0,2298.0,DNS,,,,Standard query response 0x9d90 A tiscali.co.uk A 212.74.99.30 NS ns0.as9105.com NS ns0.tiscali.co.uk A 212.139.129.130 A 212.74.114.132,,167,0.039715,946.954774,2011-08-15 16:32:52.305739,3196799,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
Virut2,21199,147.32.84.165,212.117.171.138,3362.0,65500.0,,,TCP,0x010,,,[TCP Retransmission] 3362  >  65500 [ACK] Seq=2899583607 Ack=4065245501 Win=63530 Len=1460,,1514,0.001668,1622.594383,2011-08-15 16:44:07.945348,5830115,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
Zeus,321081,74.125.71.94,10.0.2.103,80.0,62747.0,,,TCP,0x011,,,"80  >  62747 [FIN, ACK] Seq=2810697841 Ack=2443147493 Win=65535 Len=0",,54,3.3e-05,2408729.135594,1970-01-28 21:05:29.135611,88054942,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
njRAT3,318910,147.32.83.57,10.0.2.104,5552.0,49178.0,,,TCP,0x018,,,"5552  >  49178 [PSH, ACK] Seq=2131625366 Ack=1952914996 Win=65535 Len=1030",,1084,2.807576,2150547.492436,1970-01-25 21:22:27.492456,150411041,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,322622,10.0.2.103,108.234.133.110,,,1416.0,8387.0,UDP,,,,1416  >  8387 Len=157,,199,2.633717,2420597.22645,1970-01-29 00:23:17.226467,88492631,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
Zeus,74993,173.194.122.31,10.0.2.103,443.0,52132.0,,,SSLv3,0x010,,,Continuation Data,,1474,0.000146,552393.748282,1970-01-07 09:26:33.748299,21602187,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,191773,10.0.2.103,8.8.8.8,,,63207.0,53.0,DNS,,,,Standard query 0x6c7e A lbzukskvkuwifbytkpfvoufuyp.biz,,90,1.498684,1418836.740612,1970-01-17 10:07:16.740629,52444417,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
njRAT3,170826,147.32.83.57,10.0.2.104,5552.0,49178.0,,,TCP,0x018,,,"5552  >  49178 [PSH, ACK] Seq=2065954626 Ack=1952914996 Win=65535 Len=1030",,1084,2.800737,1266741.699917,1970-01-15 15:52:21.699937,75461725,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
Zeus,49600,173.194.122.31,10.0.2.103,443.0,51072.0,,,SSLv3,0x018,,,Continuation Data,,1468,2.6e-05,355700.399542,1970-01-05 02:48:20.399559,14768859,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,36383,fe80::50be:8acf:be49:8c14,ff02::1:2,,,546.0,547.0,DHCPv6,,,,Solicit XID: 0x3e96fd CID: 000100011751c3220800273c8dc9 ,,146,32.005573,260982.831469,1970-01-04 00:29:42.831486,10823317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
njRAT3,58270,147.32.83.57,10.0.2.104,5552.0,49174.0,,,TCP,0x018,,,"5552  >  49174 [PSH, ACK] Seq=27805500 Ack=3725925774 Win=65535 Len=1030",,1084,2.801414,410336.249933,1970-01-05 17:58:56.249953,26885002,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,241426,147.32.84.165,184.173.217.40,4104.0,443.0,,,TCP,0x002,,,[TCP Retransmission] 4104  >  443 [SYN] Seq=3186410864 Win=64240 Len=0 MSS=1460 SACK_PERM=1,,62,1e-05,20284.730845,2011-08-15 21:55:10.081810,85535748,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
njRAT3,323705,10.0.2.104,147.32.83.57,49178.0,5552.0,,,TCP,0x010,,,49178  >  5552 [ACK] Seq=1952914996 Ack=2133738926 Win=65535 Len=0,,54,0.196427,2178707.766877,1970-01-26 05:11:47.766897,152822245,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,26048,147.32.84.165,209.85.148.147,1752.0,80.0,,,TCP,0x010,,,1752  >  80 [ACK] Seq=3173450900 Ack=1366628275 Win=15730 Len=0,,60,2.8000000000000003e-05,723.902518,2011-08-15 16:04:47.383952,16398765,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
njRAT3,321257,147.32.83.57,10.0.2.104,5552.0,49178.0,,,TCP,0x018,,,"5552  >  49178 [PSH, ACK] Seq=2132649186 Ack=1952914996 Win=65535 Len=1030",,1084,2.799694,2165466.835594,1970-01-26 01:31:06.835614,151582771,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
Virut2,74119,147.32.84.165,212.117.171.138,1244.0,65500.0,,,TCP,0x018,,,"[TCP Retransmission] 1244  >  65500 [PSH, ACK] Seq=1246777370 Ack=2884714420 Win=62838 Len=892",,946,0.007518,5195.953427,2011-08-15 17:43:41.304392,22370758,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
Virut2,34171,147.32.84.165,212.117.171.138,4354.0,65500.0,,,TCP,0x018,,,"4354  >  65500 [PSH, ACK] Seq=2475234739 Ack=884362732 Win=64235 Len=38",,92,0.0003399999999999,2266.190141,2011-08-15 16:54:51.541106,10314612,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
Virut2,109432,147.32.84.165,212.117.171.138,2280.0,65500.0,,,TLSv1,0x010,,,Ignored Unknown Record,,1514,0.000344,7627.697117000001,2011-08-15 18:24:13.048082,37843203,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,387610,173.192.170.88,147.32.84.165,80.0,17749.0,,,HTTP,0x018,,,HTTP/1.1 200 OK  (text/html),,332,0.023339,48221.421246,2011-08-16 05:40:46.772211,101852324,46,200.0,OK,text/html,,,,Apache/2.2.19 (Unix) mod_ssl/2.2.19 OpenSSL/0.9.8e-fips-rhel5 mod_auth_passthrough/2.1 mod_bwlimited/1.4 FrontPage/5.0.2.2635,,,,,,,"Date: Tue, 16 Aug 2011 04:40:50 GMT\\r\\n,Server: Apache/2.2.19 (Unix) mod_ssl/2.2.19 OpenSSL/0.9.8e-fips-rhel5 mod_auth_passthrough/2.1 mod_bwlimited/1.4 FrontPage/5.0.2.2635\\r\\n,X-Powered-By: PHP/5.2.17\\r\\n,Transfer-Encoding: chunked\\r\\n,Content-Type: tex",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.lddwj.com/g1.php?u=hhhh&v=6&m=36456E29-4303-4E66-8DAC-DBD246E55B62,benign
njRAT3,490596,147.32.83.57,10.0.2.104,5552.0,49178.0,,,TCP,0x018,,,"5552  >  49178 [PSH, ACK] Seq=2208192476 Ack=1952914996 Win=65535 Len=1030",,1084,2.802553,3160617.642979,1970-02-06 13:56:57.642999,237725501,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
benign,260915,147.32.84.165,184.173.217.40,6031.0,443.0,,,TCP,0x002,,,[TCP Out-Of-Order] 6031  >  443 [SYN] Seq=2371704993 Win=64240 Len=0 MSS=1460 SACK_PERM=1,,62,1e-05,24106.808293,2011-08-15 22:58:52.159258,87891900,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
benign,332704,209.173.182.133,147.32.84.165,21486.0,3389.0,,,SSL,0x018,,,Continuation Data,,75,0.190134,37532.071475,2011-08-16 02:42:37.422440,96375465,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,benign
njRAT3,269279,147.32.83.57,10.0.2.104,5552.0,49178.0,,,TCP,0x018,,,"5552  >  49178 [PSH, ACK] Seq=2109591606 Ack=1952914996 Win=65535 Len=1030",,1084,2.805252,1860765.237773,1970-01-22 12:52:45.237793,125279745,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
njRAT3,421915,10.0.2.104,147.32.83.57,49178.0,5552.0,,,TCP,0x010,,,49178  >  5552 [ACK] Seq=1952914996 Ack=2177714776 Win=65535 Len=0,,54,0.203562,2755072.991943,1970-02-01 21:17:52.991963,202955569,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
njRAT3,293941,147.32.83.57,10.0.2.104,5552.0,49178.0,,,TCP,0x018,,,"5552  >  49178 [PSH, ACK] Seq=2120487976 Ack=1952914996 Win=65535 Len=1030",,1084,2.80503,2003341.550666,1970-01-24 04:29:01.550686,137712991,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malicious
